	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01241	63875UniRef90_O83675 DNA polymerase III subunit alpha n=6 Tax=Treponema RepID=DPO3A_TREPA	1201	20	0.0	60.03	5	F:GO:0005319; P:GO:0006869; P:GO:0032355; F:GO:0045735; P:GO:0071391	F:lipid transporter activity; P:lipid transport; P:response to estradiol; F:nutrient reservoir activity; P:cellular response to estrogen stimulus			IPR003141 (SMART); IPR011708 (PFAM); IPR004013 (PFAM); IPR004805 (TIGRFAM); G3DSA:2.40.50.140 (GENE3D); G3DSA:3.20.20.140 (GENE3D); IPR029460 (PFAM); IPR041931 (G3DSA:1.10.10.GENE3D); IPR040982 (PFAM); IPR004805 (PANTHER); PTHR32294:SF0 (PANTHER); cd12113 (CDD); cd04485 (CDD); IPR012340 (SUPERFAMILY); IPR016195 (SUPERFAMILY)	F:GO:0003824; P:GO:0006260; F:GO:0008408	F:catalytic activity; P:DNA replication; F:3'-5' exonuclease activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	CBNIABCL_01242	3053UniRef90_Q39WC1 Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha n=1 Tax=Geobacter metallireducens (strain GS-15 / ATCC 53774 / DSM 7210) RepID=ACCA_GEOMG	296	20	1.93882E-103	71.4	33	F:GO:0000166; C:GO:0000502; F:GO:0004386; F:GO:0004470; C:GO:0005737; P:GO:0006139; P:GO:0006260; P:GO:0006464; P:GO:0006508; P:GO:0006996; F:GO:0008144; F:GO:0008233; C:GO:0009288; P:GO:0016311; F:GO:0016740; F:GO:0016810; F:GO:0016874; P:GO:0018130; P:GO:0019438; P:GO:0019439; P:GO:0019752; P:GO:0030163; P:GO:0042554; C:GO:0043020; F:GO:0043167; P:GO:0044270; P:GO:0044271; P:GO:0046700; F:GO:0046906; F:GO:0048037; P:GO:0097588; P:GO:1901361; P:GO:1901362	F:nucleotide binding; C:proteasome complex; F:helicase activity; F:malic enzyme activity; C:cytoplasm; P:nucleobase-containing compound metabolic process; P:DNA replication; P:cellular protein modification process; P:proteolysis; P:organelle organization; F:drug binding; F:peptidase activity; C:bacterial-type flagellum; P:dephosphorylation; F:transferase activity; F:hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds; F:ligase activity; P:heterocycle biosynthetic process; P:aromatic compound biosynthetic process; P:aromatic compound catabolic process; P:carboxylic acid metabolic process; P:protein catabolic process; P:superoxide anion generation; C:NADPH oxidase complex; F:ion binding; P:cellular nitrogen compound catabolic process; P:cellular nitrogen compound biosynthetic process; P:heterocycle catabolic process; F:tetrapyrrole binding; F:cofactor binding; P:archaeal or bacterial-type flagellum-dependent cell motility; P:organic cyclic compound catabolic process; P:organic cyclic compound biosynthetic process	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase	IPR001095 (PRINTS); IPR001095 (PFAM); IPR001095 (TIGRFAM); G3DSA:3.90.226.10 (GENE3D); IPR001095 (PANTHER); IPR011763 (PROSITE_PROFILES); IPR001095 (HAMAP); IPR029045 (SUPERFAMILY)	F:GO:0003989; P:GO:0006633; C:GO:0009317; F:GO:0016874	F:acetyl-CoA carboxylase activity; P:fatty acid biosynthetic process; C:acetyl-CoA carboxylase complex; F:ligase activity
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01243	266624UniRef90_Q9WYW2 Tryptophan--tRNA ligase n=10 Tax=Thermotogaceae RepID=SYW_THEMA	355	20	1.01768E-115	61.06	73	P:GO:0000086; P:GO:0000160; F:GO:0000166; P:GO:0000278; C:GO:0000922; F:GO:0000978; F:GO:0000981; F:GO:0001228; P:GO:0001556; F:GO:0003676; F:GO:0003677; F:GO:0003723; F:GO:0003824; F:GO:0004721; F:GO:0004725; F:GO:0005506; F:GO:0005524; F:GO:0005525; C:GO:0005634; C:GO:0005737; C:GO:0005813; C:GO:0005815; C:GO:0005856; P:GO:0006355; P:GO:0006468; P:GO:0006470; P:GO:0006777; P:GO:0007049; P:GO:0007144; P:GO:0007275; P:GO:0007517; P:GO:0009399; P:GO:0009408; P:GO:0010971; P:GO:0015945; F:GO:0016163; P:GO:0016226; F:GO:0016491; F:GO:0016787; F:GO:0016829; F:GO:0016887; F:GO:0018697; C:GO:0019008; F:GO:0019901; P:GO:0030154; C:GO:0030430; P:GO:0032467; P:GO:0035335; P:GO:0035914; P:GO:0042693; F:GO:0043425; C:GO:0044156; C:GO:0044163; C:GO:0044219; P:GO:0045663; P:GO:0045860; P:GO:0045931; P:GO:0045944; P:GO:0046740; F:GO:0046872; F:GO:0046983; P:GO:0048743; P:GO:0051301; F:GO:0051536; F:GO:0051539; P:GO:0055114; F:GO:0061798; F:GO:0070888; C:GO:0090575; P:GO:0110032; P:GO:1901741; P:GO:1902751; F:GO:1904047	P:G2/M transition of mitotic cell cycle; P:phosphorelay signal transduction system; F:nucleotide binding; P:mitotic cell cycle; C:spindle pole; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA-binding transcription activator activity, RNA polymerase II-specific; P:oocyte maturation; F:nucleic acid binding; F:DNA binding; F:RNA binding; F:catalytic activity; F:phosphoprotein phosphatase activity; F:protein tyrosine phosphatase activity; F:iron ion binding; F:ATP binding; F:GTP binding; C:nucleus; C:cytoplasm; C:centrosome; C:microtubule organizing center; C:cytoskeleton; P:regulation of transcription, DNA-templated; P:protein phosphorylation; P:protein dephosphorylation; P:Mo-molybdopterin cofactor biosynthetic process; P:cell cycle; P:female meiosis I; P:multicellular organism development; P:muscle organ development; P:nitrogen fixation; P:response to heat; P:positive regulation of G2/M transition of mitotic cell cycle; P:methanol metabolic process; F:nitrogenase activity; P:iron-sulfur cluster assembly; F:oxidoreductase activity; F:hydrolase activity; F:lyase activity; F:ATPase activity; F:carbonyl sulfide nitrogenase activity; C:molybdopterin synthase complex; F:protein kinase binding; P:cell differentiation; C:host cell cytoplasm; P:positive regulation of cytokinesis; P:peptidyl-tyrosine dephosphorylation; P:skeletal muscle cell differentiation; P:muscle cell fate commitment; F:bHLH transcription factor binding; C:host cell junction; C:host cytoskeleton; C:host cell plasmodesma; P:positive regulation of myoblast differentiation; P:positive regulation of protein kinase activity; P:positive regulation of mitotic cell cycle; P:positive regulation of transcription by RNA polymerase II; P:transport of virus in host, cell to cell; F:metal ion binding; F:protein dimerization activity; P:positive regulation of skeletal muscle fiber development; P:cell division; F:iron-sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; P:oxidation-reduction process; F:GTP 3',8'-cyclase activity; F:E-box binding; C:RNA polymerase II transcription regulator complex; P:positive regulation of G2/MI transition of meiotic cell cycle; P:positive regulation of myoblast fusion; P:positive regulation of cell cycle G2/M phase transition; F:S-adenosyl-L-methionine binding			IPR002306 (PRINTS); IPR014729 (G3DSA:3.40.50.GENE3D); IPR002306 (TIGRFAM); IPR002305 (PFAM); G3DSA:1.10.240.10 (GENE3D); mobidb-lite (MOBIDB_LITE); PTHR10055 (PANTHER); PTHR10055:SF9 (PANTHER); IPR001412 (PROSITE_PATTERNS); IPR024109 (HAMAP); IPR002306 (CDD); SSF52374 (SUPERFAMILY)	F:GO:0000166; F:GO:0004812; F:GO:0004830; F:GO:0005524; P:GO:0006418; P:GO:0006436	F:nucleotide binding; F:aminoacyl-tRNA ligase activity; F:tryptophan-tRNA ligase activity; F:ATP binding; P:tRNA aminoacylation for protein translation; P:tryptophanyl-tRNA aminoacylation
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01244	326490UniRef90_P70995 Putative zinc metalloprotease YwhC n=35 Tax=Bacillales RepID=YWHC_BACSU	243	20	3.60034E-22	44.33	66	C:GO:0000139; C:GO:0000776; P:GO:0001666; F:GO:0004175; F:GO:0004190; F:GO:0005102; F:GO:0005515; C:GO:0005576; C:GO:0005634; C:GO:0005637; C:GO:0005743; C:GO:0005765; C:GO:0005769; C:GO:0005783; C:GO:0005789; C:GO:0005794; C:GO:0005813; C:GO:0005886; C:GO:0005887; C:GO:0005938; P:GO:0006508; P:GO:0006509; P:GO:0006816; P:GO:0007219; P:GO:0007220; P:GO:0007275; C:GO:0008021; F:GO:0008233; C:GO:0009986; C:GO:0016020; C:GO:0016021; P:GO:0016032; P:GO:0016055; C:GO:0016324; P:GO:0016485; F:GO:0016787; C:GO:0019012; C:GO:0019031; P:GO:0019062; C:GO:0030018; C:GO:0030424; C:GO:0030426; P:GO:0031293; C:GO:0031594; C:GO:0032991; C:GO:0035253; P:GO:0035333; P:GO:0035556; P:GO:0039663; F:GO:0042500; P:GO:0042987; C:GO:0043025; P:GO:0043065; P:GO:0043066; P:GO:0043085; C:GO:0043198; C:GO:0045121; P:GO:0046718; P:GO:0048013; C:GO:0048471; P:GO:0050435; C:GO:0055036; C:GO:0097060; C:GO:0099056; P:GO:0110097; P:GO:1990456	C:Golgi membrane; C:kinetochore; P:response to hypoxia; F:endopeptidase activity; F:aspartic-type endopeptidase activity; F:signaling receptor binding; F:protein binding; C:extracellular region; C:nucleus; C:nuclear inner membrane; C:mitochondrial inner membrane; C:lysosomal membrane; C:early endosome; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:Golgi apparatus; C:centrosome; C:plasma membrane; C:integral component of plasma membrane; C:cell cortex; P:proteolysis; P:membrane protein ectodomain proteolysis; P:calcium ion transport; P:Notch signaling pathway; P:Notch receptor processing; P:multicellular organism development; C:synaptic vesicle; F:peptidase activity; C:cell surface; C:membrane; C:integral component of membrane; P:viral process; P:Wnt signaling pathway; C:apical plasma membrane; P:protein processing; F:hydrolase activity; C:virion; C:viral envelope; P:virion attachment to host cell; C:Z disc; C:axon; C:growth cone; P:membrane protein intracellular domain proteolysis; C:neuromuscular junction; C:protein-containing complex; C:ciliary rootlet; P:Notch receptor processing, ligand-dependent; P:intracellular signal transduction; P:membrane fusion involved in viral entry into host cell; F:aspartic endopeptidase activity, intramembrane cleaving; P:amyloid precursor protein catabolic process; C:neuronal cell body; P:positive regulation of apoptotic process; P:negative regulation of apoptotic process; P:positive regulation of catalytic activity; C:dendritic shaft; C:membrane raft; P:viral entry into host cell; P:ephrin receptor signaling pathway; C:perinuclear region of cytoplasm; P:amyloid-beta metabolic process; C:virion membrane; C:synaptic membrane; C:integral component of presynaptic membrane; P:regulation of calcium import into the mitochondrion; P:mitochondrion-endoplasmic reticulum membrane tethering			IPR008915 (PFAM); PTHR43871 (PANTHER); PTHR43871:SF2 (PANTHER); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); cd06158 (CDD); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	F:GO:0004222; P:GO:0006508	F:metalloendopeptidase activity; P:proteolysis
true	[INTERPRO, NO-BLAST]	CBNIABCL_01245	---NA---	678									IPR028081 (PFAM); PTHR30483 (PANTHER); cd06268 (CDD); IPR028082 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01246	861871UniRef90_A0A0F2L8A8 Uroporphyrin-III methyltransferase n=1 Tax=Thermoproteus sp. AZ2 RepID=A0A0F2L8A8_9CREN	132	20	1.99613E-28	64.01	7	P:GO:0006629; P:GO:0006633; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016717; P:GO:0055114	P:lipid metabolic process; P:fatty acid biosynthetic process; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water; P:oxidation-reduction process			Coil (COILS); IPR007438 (PFAM); PTHR36849 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01247	---NA---	60									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01248	574187UniRef90_A0A075HLP9 Cell wall hydrolase/autolysin (AmiA, amiB, amiC) n=1 Tax=uncultured marine thaumarchaeote KM3_68_B04 RepID=A0A075HLP9_9ARCH	437	20	7.15371E-36	48.88	3	C:GO:0016020; C:GO:0016021; F:GO:0046872	C:membrane; C:integral component of membrane; F:metal ion binding			IPR002508 (SMART); IPR002508 (PFAM); G3DSA:3.40.630.40 (GENE3D); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); PTHR30404 (PANTHER); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); IPR002508 (CDD); SignalP-noTM (SIGNALP_EUK); SSF53187 (SUPERFAMILY); TMhelix (TMHMM)	F:GO:0008745; P:GO:0009253	F:N-acetylmuramoyl-L-alanine amidase activity; P:peptidoglycan catabolic process
true	[INTERPRO, NO-BLAST]	CBNIABCL_01249	---NA---	76									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01251	341052UniRef90_I3RKU3 Putative transposase n=1 Tax=uncultured archaeon RepID=I3RKU3_9ARCH	153	20	9.62852E-17	50.86	14	F:GO:0000166; F:GO:0005524; F:GO:0015440; P:GO:0015833; C:GO:0016020; C:GO:0016021; F:GO:0016887; P:GO:0019885; C:GO:0030176; F:GO:0042287; F:GO:0042626; C:GO:0042825; P:GO:0055085; F:GO:1904680	F:nucleotide binding; F:ATP binding; F:ATPase-coupled peptide transmembrane transporter activity; P:peptide transport; C:membrane; C:integral component of membrane; F:ATPase activity; P:antigen processing and presentation of endogenous peptide antigen via MHC class I; C:integral component of endoplasmic reticulum membrane; F:MHC protein binding; F:ATPase-coupled transmembrane transporter activity; C:TAP complex; P:transmembrane transport; F:peptide transmembrane transporter activity			IPR024445 (SMART); IPR024445 (PFAM); PTHR47163 (PANTHER); PTHR47163:SF1 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01252	---NA---	217									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01253	315475UniRef90_P55189 Putative sulfate transporter YbaR n=44 Tax=Bacillales RepID=YBAR_BACSU	492	20	0.0	53.8	25	C:GO:0000015; F:GO:0000287; C:GO:0001917; F:GO:0004634; C:GO:0005737; C:GO:0005829; C:GO:0005886; P:GO:0006096; C:GO:0009986; C:GO:0016020; F:GO:0016491; F:GO:0016829; F:GO:0019899; C:GO:0030426; F:GO:0042802; C:GO:0043005; C:GO:0043025; C:GO:0043204; C:GO:0043209; F:GO:0044877; C:GO:0045121; F:GO:0046872; P:GO:0055114; C:GO:0097060; C:GO:0099738	C:phosphopyruvate hydratase complex; F:magnesium ion binding; C:photoreceptor inner segment; F:phosphopyruvate hydratase activity; C:cytoplasm; C:cytosol; C:plasma membrane; P:glycolytic process; C:cell surface; C:membrane; F:oxidoreductase activity; F:lyase activity; F:enzyme binding; C:growth cone; F:identical protein binding; C:neuron projection; C:neuronal cell body; C:perikaryon; C:myelin sheath; F:protein-containing complex binding; C:membrane raft; F:metal ion binding; P:oxidation-reduction process; C:synaptic membrane; C:cell cortex region			IPR036513 (G3DSA:3.30.750.GENE3D); IPR002645 (PFAM); IPR011547 (PFAM); PTHR43310:SF1 (PANTHER); PTHR43310 (PANTHER); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); TRANSMEMBRANE (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); TRANSMEMBRANE (PHOBIUS); IPR002645 (PROSITE_PROFILES); cd07042 (CDD); IPR036513 (SUPERFAMILY); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM); TMhelix (TMHMM)	P:GO:0008272; F:GO:0015116; C:GO:0016021	P:sulfate transport; F:sulfate transmembrane transporter activity; C:integral component of membrane
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01254	300874UniRef90_P73475 Universal stress protein Slr1230 n=3 Tax=Bacteria RepID=Y1230_SYNY3	287	20	3.86595E-46	44.82	22	F:GO:0005506; C:GO:0005739; C:GO:0005829; P:GO:0009228; C:GO:0009507; C:GO:0009536; C:GO:0009570; C:GO:0016020; C:GO:0016021; F:GO:0016491; F:GO:0016740; F:GO:0016763; F:GO:0020037; F:GO:0030151; P:GO:0042128; F:GO:0043546; F:GO:0046872; F:GO:0047006; F:GO:0050464; P:GO:0052837; P:GO:0055114; F:GO:0071949	F:iron ion binding; C:mitochondrion; C:cytosol; P:thiamine biosynthetic process; C:chloroplast; C:plastid; C:chloroplast stroma; C:membrane; C:integral component of membrane; F:oxidoreductase activity; F:transferase activity; F:transferase activity, transferring pentosyl groups; F:heme binding; F:molybdenum ion binding; P:nitrate assimilation; F:molybdopterin cofactor binding; F:metal ion binding; F:17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity; F:nitrate reductase (NADPH) activity; P:thiazole biosynthetic process; P:oxidation-reduction process; F:FAD binding			IPR006015 (PRINTS); G3DSA:3.40.50.12370 (GENE3D); IPR006016 (PFAM); IPR006015 (PANTHER); cd00293 (CDD); cd00293 (CDD); SSF52402 (SUPERFAMILY); SSF52402 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED]	CBNIABCL_01255	332015UniRef90_A0A0F7P9L7 Transposase IS4 family protein n=1 Tax=Halanaeroarchaeum sulfurireducens RepID=A0A0F7P9L7_9EURY	103	7	9.99961E-15	63.89	40	P:GO:0000001; P:GO:0000011; C:GO:0000142; P:GO:0000281; F:GO:0003676; F:GO:0003723; F:GO:0003786; C:GO:0005737; C:GO:0005826; C:GO:0005856; C:GO:0005884; P:GO:0006887; P:GO:0007015; P:GO:0007118; P:GO:0007119; P:GO:0008154; F:GO:0008270; P:GO:0008298; C:GO:0016020; P:GO:0016032; P:GO:0016192; C:GO:0019012; C:GO:0019013; C:GO:0019028; P:GO:0019068; C:GO:0020002; P:GO:0030010; C:GO:0030430; C:GO:0032432; C:GO:0033644; F:GO:0039660; P:GO:0039702; F:GO:0042803; C:GO:0044174; P:GO:0046755; F:GO:0046872; F:GO:0051015; P:GO:0051017; C:GO:0072494; P:GO:1903475	P:mitochondrion inheritance; P:vacuole inheritance; C:cellular bud neck contractile ring; P:mitotic cytokinesis; F:nucleic acid binding; F:RNA binding; F:actin lateral binding; C:cytoplasm; C:actomyosin contractile ring; C:cytoskeleton; C:actin filament; P:exocytosis; P:actin filament organization; P:budding cell apical bud growth; P:budding cell isotropic bud growth; P:actin polymerization or depolymerization; F:zinc ion binding; P:intracellular mRNA localization; C:membrane; P:viral process; P:vesicle-mediated transport; C:virion; C:viral nucleocapsid; C:viral capsid; P:virion assembly; C:host cell plasma membrane; P:establishment of cell polarity; C:host cell cytoplasm; C:actin filament bundle; C:host cell membrane; F:structural constituent of virion; P:viral budding via host ESCRT complex; F:protein homodimerization activity; C:host cell endosome; P:viral budding; F:metal ion binding; F:actin filament binding; P:actin filament bundle assembly; C:host multivesicular body; P:mitotic actomyosin contractile ring assembly			no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	CBNIABCL_01256	---NA---	120									IPR025668 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01257	---NA---	58									mobidb-lite (MOBIDB_LITE); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01258	---NA---	373									IPR013413 (TIGRFAM); IPR019092 (PFAM); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE (PHOBIUS); cd09741 (CDD)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01259	---NA---	138									IPR002560 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	CBNIABCL_01260	628402UniRef90_T0LRW5 Transposase, IS204/IS1001/IS1096/IS1165 n=3 Tax=Thermoplasmatales archaeon E-plasma RepID=T0LRW5_9EURY	316	20	1.8413E-12	46.01						IPR002560 (PFAM); IPR029261 (PFAM); PTHR33498 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01261	---NA---	147									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	CBNIABCL_01262	---NA---	74									G3DSA:3.40.50.150 (GENE3D); IPR029063 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01263	---NA---	58									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	CBNIABCL_01264	604929UniRef90_A0A0F8PB21 DNA-binding protein n=1 Tax=Methanosarcina mazei RepID=A0A0F8PB21_METMZ	82	2	5.66522E-6	67.76						Coil (COILS)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	CBNIABCL_01265	858833UniRef90_L0KZL2 ORF6N domain-containing protein n=1 Tax=Methanomethylovorans hollandica (strain DSM 15978 / NBRC 107637 / DMS1) RepID=L0KZL2_METHD	74	7	1.77484E-11	66.43						IPR018873 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01266	---NA---	31									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	CBNIABCL_01267	---NA---	313									IPR025285 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01268	---NA---	217									mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE); mobidb-lite (MOBIDB_LITE)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01269	---NA---	406									IPR025493 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	CBNIABCL_01270	---NA---	195									SIGNAL_PEPTIDE (PHOBIUS); NON_CYTOPLASMIC_DOMAIN (PHOBIUS); SIGNAL_PEPTIDE_H_REGION (PHOBIUS); SIGNAL_PEPTIDE_N_REGION (PHOBIUS); SIGNAL_PEPTIDE_C_REGION (PHOBIUS); PS51257 (PROSITE_PROFILES); SignalP-TM (SIGNALP_GRAM_POSITIVE); SignalP-noTM (SIGNALP_GRAM_NEGATIVE); SignalP-noTM (SIGNALP_EUK)	no GO terms	no GO terms
