my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_02051	 4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1	LFTS_00621	 4-hydroxy-3-methylbut-2-enyl diphosphate reductase	Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
CBNIABCL_02050	 2-hydroxyethylphosphonate methyltransferase	LFTS_00622	 hopanoid biosynthesis associated radical SAM protein HpnJ	Elongator protein 3, MiaB family, Radical SAM
CBNIABCL_02049	 hypothetical protein	LFTS_00623	 ceramide glucosyltransferase	Glycosyl transferase family group 2
CBNIABCL_02048	 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE	LFTS_00624	 EamA-like transporter family protein	membrane
CBNIABCL_02047	 hypothetical protein	LFTS_00625	 putative membrane protein	Carotenoid biosynthesis protein
CBNIABCL_02046	 Sirohydrochlorin cobaltochelatase	LFTS_00626	 sirohydrochlorin cobaltochelatase	CbiX
CBNIABCL_02045	 Uroporphyrinogen decarboxylase	LFTS_00627	 uroporphyrinogen decarboxylase	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III
CBNIABCL_02044	 Oxygen-independent coproporphyrinogen III oxidase	LFTS_00628	 oxygen-independent coproporphyrinogen-3 oxidase	Elongator protein 3, MiaB family, Radical SAM
CBNIABCL_02043	 hypothetical protein	LFTS_00629	 hypothetical protein	 Not found 
CBNIABCL_02041	 hypothetical protein	LFTS_00631	 hypothetical protein	 Not found 
CBNIABCL_02040	 hypothetical protein	LFTS_00632	 Terminase small subunit	Terminase small subunit
CBNIABCL_02039	 hypothetical protein	LFTS_00633	 hypothetical protein	 Not found 
CBNIABCL_02038	 hypothetical protein	LFTS_00634	 hypothetical protein	 Not found 
CBNIABCL_02037	 hypothetical protein	LFTS_00635	 hypothetical protein	 Not found 
CBNIABCL_02036	 hypothetical protein	LFTS_00636	 hypothetical protein	 Not found 
CBNIABCL_02035	 hypothetical protein	LFTS_00637	 hypothetical protein	 Not found 
CBNIABCL_02034	 hypothetical protein	LFTS_00638	 PaaX-like protein	 Not found 
CBNIABCL_02033	 hypothetical protein	LFTS_00639	 AAA domain-containing protein	AAA domain
CBNIABCL_02032	 DNA primase TraC	LFTS_00640	 putative DNA primase/helicase	Protein of unknown function (DUF3987)
CBNIABCL_02031	 hypothetical protein	LFTS_00641	 hypothetical protein	 Not found 
CBNIABCL_02030	 hypothetical protein	LFTS_00642	 hypothetical protein	 Not found 
CBNIABCL_02029	 Prophage integrase IntS	LFTS_00643	 Site-specific recombinase XerD	Belongs to the 'phage' integrase family
CBNIABCL_02028	 S-adenosylmethionine synthase	LFTS_00644	 methionine adenosyltransferase	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme
CBNIABCL_02027	 Adenosylhomocysteinase	LFTS_00645	 adenosylhomocysteinase	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine
CBNIABCL_02026	 hypothetical protein	LFTS_00646	 sulfur carrier protein	thiamine diphosphate biosynthetic process
CBNIABCL_02025	 Cysteine synthase	LFTS_00647	 cysteine synthase	Pyridoxal-phosphate dependent enzyme
CBNIABCL_02024	 putative adenylyltransferase/sulfurtransferase MoeZ	LFTS_00648	 adenylyltransferase and sulfurtransferase	ThiF family
CBNIABCL_02023	 Threonine synthase	LFTS_00649	 threonine synthase	Pyridoxal-phosphate dependent enzyme
CBNIABCL_02022	 Sulfur carrier protein CysO	LFTS_00650	 molybdopterin synthase sulfur carrier subunit	ThiS family
CBNIABCL_02021	 hypothetical protein	LFTS_00651	 NIL domain-containing protein	NIL
CBNIABCL_02020	 putative adenylyltransferase/sulfurtransferase MoeZ	LFTS_00652	 adenylyltransferase and sulfurtransferase	ThiF family
CBNIABCL_02019	 CysO-cysteine peptidase	LFTS_00653	 Proteasome lid subunit RPN8/RPN11, contains Jab1/MPN metalloenzyme (JAMM) motif	JAB/MPN domain
CBNIABCL_02018	 Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	LFTS_00654	 two-component system, OmpR family, alkaline phosphatase synthesis response regulator PhoP	Transcriptional regulatory protein, C terminal
CBNIABCL_02017	 Alkaline phosphatase synthesis sensor protein PhoR	LFTS_00655	 two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR	His Kinase A (phosphoacceptor) domain
CBNIABCL_02016	 UDP-glucose 4-epimerase	LFTS_00656	 UDP-galactose 4-epimerase	UDP-glucose 4-epimerase
CBNIABCL_02015	 Endonuclease 4	LFTS_00657	 Endonuclease IV	AP endonuclease family 2
CBNIABCL_02014	 putative phospholipid ABC transporter permease protein MlaE	LFTS_00658	 phospholipid/cholesterol/gamma-HCH transport system permease protein	Permease MlaE
CBNIABCL_02013	 putative phospholipid import ATP-binding protein MlaF	LFTS_00659	 phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein	ABC transporter
CBNIABCL_02012	 hypothetical protein	LFTS_00660	 phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein	MlaD protein
CBNIABCL_02011	 3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	LFTS_00661	 putative metallophosphoesterase	Calcineurin-like phosphoesterase
CBNIABCL_02010	 hypothetical protein	LFTS_00662	 hypothetical protein	 Not found 
CBNIABCL_02009	 putative signaling protein	LFTS_00663	 PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase
CBNIABCL_02008	 4-hydroxythreonine-4-phosphate dehydrogenase 2	LFTS_00664	 4-hydroxythreonine-4-phosphate dehydrogenase	Pyridoxal phosphate biosynthetic protein PdxA
CBNIABCL_02007	 Ferrous-iron efflux pump FieF	LFTS_00665	 cation diffusion facilitator family transporter	Dimerisation domain of Zinc Transporter
CBNIABCL_02006	 UvrABC system protein A	LFTS_00666	 Excinuclease ABC subunit A	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate
CBNIABCL_02005	 Outer-membrane lipoprotein carrier protein	LFTS_00667	 outer membrane lipoprotein carrier protein	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)
CBNIABCL_02004	 DNA translocase FtsK	LFTS_00668	 DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family	Ftsk_gamma
CBNIABCL_02003	 Ribonuclease J 1	LFTS_00669	 ribonuclease J	An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay
CBNIABCL_02002	 Ribosomal RNA small subunit methyltransferase A	LFTS_00670	 16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits
CBNIABCL_02001	 hypothetical protein	LFTS_00671	 protein TonB	energy transducer activity
CBNIABCL_02000	 Soluble lytic murein transglycosylase	LFTS_00672	 soluble lytic murein transglycosylase	Transglycosylase SLT domain
CBNIABCL_01999	 hypothetical protein	LFTS_00673	 hypothetical protein	 Not found 
CBNIABCL_01998	 hypothetical protein	LFTS_00674	 hypothetical protein	 Not found 
CBNIABCL_01996	 putative AAA domain-containing protein	LFTS_00675	 Recombination protein MgsA	MgsA AAA+ ATPase C terminal
CBNIABCL_01995	 Ribonuclease Y	LFTS_00676	 ribonucrease Y	Endoribonuclease that initiates mRNA decay
CBNIABCL_01994	 hypothetical protein	LFTS_00677	 hypothetical protein	YmdB-like protein
CBNIABCL_01993	 Exodeoxyribonuclease 7 large subunit	LFTS_00678	 Exodeoxyribonuclease VII large subunit	Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides
CBNIABCL_01992	 Exodeoxyribonuclease 7 small subunit	LFTS_00679	 Exodeoxyribonuclease VII small subunit	exodeoxyribonuclease VII activity
CBNIABCL_01991	 Farnesyl diphosphate synthase	LFTS_00680	 farnesyl-diphosphate synthase	Polyprenyl synthetase
CBNIABCL_01990	 1-deoxy-D-xylulose-5-phosphate synthase	LFTS_00681	 1-deoxy-D-xylulose-5-phosphate synthase	Catalyzes the acyloin condensation reaction between C atoms 2 and 3 of pyruvate and glyceraldehyde 3-phosphate to yield 1-deoxy-D-xylulose-5-phosphate (DXP)
CBNIABCL_01989	 16S/23S rRNA (cytidine-2'-O)-methyltransferase TlyA	LFTS_00682	 23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase	FtsJ-like methyltransferase
CBNIABCL_01988	 UDP-glucose 4-epimerase	LFTS_00683	 UDP-glucose 4-epimerase	ADP-glyceromanno-heptose 6-epimerase activity
CBNIABCL_01987	 Divalent-cation tolerance protein CutA	LFTS_00684	 divalent cation tolerance protein	CutA1 divalent ion tolerance protein
CBNIABCL_01986	 Murein DD-endopeptidase MepM	LFTS_00685	 Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, containing LysM domain	peptidase
CBNIABCL_01985	 Protein translocase subunit SecA	LFTS_00686	 protein translocase subunit secA	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane
CBNIABCL_01984	 NAD(P)H-quinone oxidoreductase subunit 3	LFTS_00687	 NADH dehydrogenase subunit A	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01983	 NADH-quinone oxidoreductase subunit B	LFTS_00688	 NADH dehydrogenase subunit B	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01982	 NADH-quinone oxidoreductase chain 5	LFTS_00689	 NADH dehydrogenase subunit C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01981	 NADH-quinone oxidoreductase subunit 4	LFTS_00690	 NADH-quinone oxidoreductase subunit D	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01980	 NADP-reducing hydrogenase subunit HndA	LFTS_00691	 NADH-quinone oxidoreductase subunit E	Thioredoxin-like [2Fe-2S] ferredoxin
CBNIABCL_01978	 NADP-reducing hydrogenase subunit HndC	LFTS_00692	 NAD(P)-dependent iron-only hydrogenase diaphorase component flavoprotein	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
CBNIABCL_01977	 NADPH-Fe(3+) oxidoreductase subunit alpha	LFTS_00693	 formate dehydrogenase major subunit	Molydopterin dinucleotide binding domain
CBNIABCL_01976	 NADH-quinone oxidoreductase subunit H	LFTS_00694	 NADH dehydrogenase subunit H	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient. This subunit may bind ubiquinone
CBNIABCL_01975	 NADH-quinone oxidoreductase subunit I	LFTS_00695	 NADH-quinone oxidoreductase subunit I	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01974	 NADH-quinone oxidoreductase subunit J	LFTS_00696	 NADH-quinone oxidoreductase subunit J	Belongs to the complex I subunit 6 family
CBNIABCL_01973	 NADH-quinone oxidoreductase subunit 11	LFTS_00697	 NADH-quinone oxidoreductase subunit K	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01972	 NADH-quinone oxidoreductase subunit L	LFTS_00698	 NADH-quinone oxidoreductase subunit L	NADH-quinone oxidoreductase
CBNIABCL_01971	 NADH-quinone oxidoreductase subunit M	LFTS_00699	 NADH-quinone oxidoreductase subunit M	Evidence 2a Function of homologous gene experimentally demonstrated in an other organism
CBNIABCL_01970	 NADH-quinone oxidoreductase subunit N	LFTS_00700	 NADH dehydrogenase subunit N	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient
CBNIABCL_01969	 LexA repressor	LFTS_00701	 repressor LexA	Represses a number of genes involved in the response to DNA damage (SOS response)
CBNIABCL_01968	 hypothetical protein	LFTS_00702	 hypothetical protein	 Not found 
CBNIABCL_01967	 Ammonium transporter NrgA	LFTS_00703	 ammonium transporter, Amt family	Ammonium Transporter Family
CBNIABCL_01966	 Nitrogen regulatory protein P-II	LFTS_00704	 nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family
CBNIABCL_01965	 RNA polymerase-associated protein RapA	LFTS_00705	 Superfamily II DNA or RNA helicase, SNF2 family	SNF2 family N-terminal domain
CBNIABCL_01964	 Proline dehydrogenase	LFTS_00706	 L-proline dehydrogenase	proline dehydrogenase activity
CBNIABCL_01963	 putative Fe(2+)-trafficking protein	LFTS_00707	 Fe-S cluster biosynthesis and repair protein YggX	Could be a mediator in iron transactions between iron acquisition and iron-requiring processes, such as synthesis and or repair of Fe-S clusters in biosynthetic enzymes
CBNIABCL_01962	 hypothetical protein	LFTS_00708	 hypothetical protein	HIT domain
CBNIABCL_01961	 Cyclic di-GMP phosphodiesterase Gmr	LFTS_00709	 PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase
CBNIABCL_01960	 hypothetical protein	LFTS_00710	 chemotaxis protein CheZ	Chemotaxis phosphatase, CheZ
CBNIABCL_01959	 hypothetical protein	LFTS_00711	 hypothetical protein	 Not found 
CBNIABCL_01958	 hypothetical protein	LFTS_00712	 hypothetical protein	Protein of unknown function (DUF692)
CBNIABCL_01957	 Beta-barrel assembly-enhancing protease	LFTS_00713	 Tetratricopeptide repeat-containing protein	COG0457 FOG TPR repeat
CBNIABCL_01956	 Response regulator PleD	LFTS_00714	 diguanylate cyclase (GGDEF) domain-containing protein	phosphoserine phosphatase activity
CBNIABCL_01955	 hypothetical protein	LFTS_00715	 hypothetical protein	 Not found 
CBNIABCL_01954	 Beta-barrel assembly-enhancing protease	LFTS_00716	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_01953	 hypothetical protein	LFTS_00717	 general secretion pathway protein K	protein secretion
CBNIABCL_01952	 hypothetical protein	LFTS_00718	 Type II secretion system (T2SS), protein M	Type II secretion system (T2SS), protein M
CBNIABCL_01951	 hypothetical protein	LFTS_00719	 hypothetical protein	 Not found 
CBNIABCL_01950	 hypothetical protein	LFTS_00720	 type II secretion system protein N	Protein involved in outer membrane biogenesis
CBNIABCL_01949	 Type II secretion system protein G	LFTS_00721	 general secretion pathway protein G	Type II secretion system (T2SS), protein G
CBNIABCL_01948	 Type II secretion system protein F	LFTS_00722	 type II secretion system protein F (GspF)	Type II secretion system (T2SS), protein F
CBNIABCL_01947	 Type II secretion system protein E	LFTS_00723	 type II secretion system protein E (GspE)	Type II/IV secretion system protein
CBNIABCL_01946	 Type II secretion system protein D	LFTS_00724	 general secretion pathway protein D	protein transport across the cell outer membrane
CBNIABCL_01945	 hypothetical protein	LFTS_00725	 general secretion pathway protein C	protein transport across the cell outer membrane
CBNIABCL_01944	 hypothetical protein	LFTS_00726	 sulfur carrier protein	ThiS family
CBNIABCL_01942	 hypothetical protein	LFTS_00728	 PEP-CTERM protein-sorting domain-containing protein	 Not found 
CBNIABCL_01941	 hypothetical protein	LFTS_00729	 hypothetical protein	 Not found 
CBNIABCL_01940	 Thiosulfate dehydrogenase	LFTS_00730	 Cytochrome c	Cytochrome c
CBNIABCL_01939	 Thiosulfate dehydrogenase	LFTS_00731	 Cytochrome c	Cytochrome c
CBNIABCL_01938	 Cytochrome c4	LFTS_00732	 Cytochrome c553	cytochrome
CBNIABCL_01937	 putative signaling protein	LFTS_00733	 diguanylate cyclase (GGDEF) domain-containing protein	cyclic-guanylate-specific phosphodiesterase activity
CBNIABCL_01936	 hypothetical protein	LFTS_00734	 PEGA domain-containing protein	 Not found 
CBNIABCL_01935	 hypothetical protein	LFTS_00735	 C-3',4' desaturase CrtD	Flavin containing amine oxidoreductase
CBNIABCL_01934	 hypothetical protein	LFTS_00736	 Cellulose biosynthesis protein BcsQ	cellulose synthase operon protein YhjQ
CBNIABCL_01932	 Cellulose synthase operon protein C	LFTS_00737	 Tetratricopeptide repeat protein	Cellulose synthase
CBNIABCL_01931	 Cyclic di-GMP-binding protein	LFTS_00738	 cellulose synthase subunit	type IV pilus assembly PilZ
CBNIABCL_01930	 Cellulose synthase catalytic subunit [UDP-forming]	LFTS_00739	 cellulose synthase (UDP-forming)	type IV pilus assembly PilZ
CBNIABCL_01929	 Cytochrome c4	LFTS_00740	 Cytochrome c553	cytochrome
CBNIABCL_01928	 Thiosulfate dehydrogenase	LFTS_00741	 Cytochrome c	Cytochrome c
CBNIABCL_01927	 DNA polymerase II	LFTS_00742	 DNA polymerase-2	DNA replication proofreading
CBNIABCL_01926	 hypothetical protein	LFTS_00743	 hypothetical protein	
CBNIABCL_01925	 hypothetical protein	LFTS_00744	 Rad51 protein	 Not found 
CBNIABCL_01924	 LexA repressor	LFTS_00745	 repressor LexA	Represses a number of genes involved in the response to DNA damage (SOS response), including recA and lexA. In the presence of single-stranded DNA, RecA interacts with LexA causing an autocatalytic cleavage which disrupts the DNA-binding part of LexA, leading to derepression of the SOS regulon and eventually DNA repair
CBNIABCL_01923	 Glucose-6-phosphate isomerase	LFTS_00746	 glucose-6-phosphate isomerase	Phosphoglucose isomerase
CBNIABCL_01922	 hypothetical protein	LFTS_00747	 FMN phosphatase YigB, HAD superfamily	phosphoglycolate phosphatase activity
CBNIABCL_01921	 hypothetical protein	LFTS_00748	 hypothetical protein	PFAM Uncharacterised protein family (UPF0153)
CBNIABCL_01920	 Nickel and cobalt resistance protein CnrA	LFTS_00749	 Multidrug efflux pump subunit AcrB	transmembrane transporter activity
CBNIABCL_01918	 hypothetical protein	LFTS_00750	 hypothetical protein	Protein of unknown function (DUF3105)
CBNIABCL_01917	 hypothetical protein	LFTS_00751	 outer membrane lipoprotein	identical protein binding
CBNIABCL_01916	 hypothetical protein	LFTS_00752	 Copper chaperone CopZ	mercury ion transmembrane transporter activity
CBNIABCL_01915	 Arsenical pump membrane protein	LFTS_00753	 arsenite efflux membrane protein ArsB (TC 3.A.4.1.1; TC 2.A.45.1.1)	Involved in arsenical resistance. Thought to form the channel of an arsenite pump
CBNIABCL_01914	 Glutaredoxin arsenate reductase	LFTS_00754	 arsenate reductase (thioredoxin)	low molecular weight
CBNIABCL_01913	 hypothetical protein	LFTS_00755	 Heavy-metal resistance	 Not found 
CBNIABCL_01912	 hypothetical protein	LFTS_00756	 hypothetical protein	 Not found 
CBNIABCL_01911	 N-acetylneuraminate epimerase	LFTS_00757	 Galactose oxidase, central domain	 Not found 
CBNIABCL_01910	 hypothetical protein	LFTS_00758	 Cupredoxin-like domain-containing protein	
CBNIABCL_01909	 Ferrous iron permease EfeU	LFTS_00759	 high-affinity iron transporter	high-affinity ferrous iron transmembrane transporter activity
CBNIABCL_01908	 Ribonuclease	LFTS_00760	 metallo-beta-lactamase family protein	Beta-Casp domain
CBNIABCL_01907	 Long-chain-fatty-acid--CoA ligase	LFTS_00761	 long-chain acyl-CoA synthetase	Phosphate acyltransferases
CBNIABCL_01905	 HTH-type transcriptional repressor NsrR	LFTS_00763	 transcriptional regulator, BadM/Rrf2 family	Transcriptional regulator
CBNIABCL_01904	 hypothetical protein	LFTS_00764	 SAP domain-containing protein	
CBNIABCL_01903	 Ferredoxin--NAD(P)(+) reductase (naphthalene dioxygenase ferredoxin-specific)	LFTS_00765	 Ferredoxin-NADP reductase	Oxidoreductase NAD-binding domain
CBNIABCL_01902	 hypothetical protein	LFTS_00766	 Cytochrome c, mono- and diheme variants	Cytochrome c
CBNIABCL_01901	 hypothetical protein	LFTS_00767	 Zn-finger domain of CDGSH type-containing protein	Iron-binding zinc finger CDGSH type
CBNIABCL_01900	 Bacterial hemoglobin	LFTS_00768	 nitric oxide dioxygenase	nitric oxide dioxygenase activity
CBNIABCL_01899	 Phosphomannomutase/phosphoglucomutase	LFTS_00769	 phosphomannomutase / phosphoglucomutase	Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III
CBNIABCL_01898	 Alginate biosynthesis protein AlgA	LFTS_00770	 mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase	Belongs to the mannose-6-phosphate isomerase type 2 family
CBNIABCL_01897	 hypothetical protein	LFTS_00771	 hypothetical protein	 Not found 
CBNIABCL_01896	 hypothetical protein	LFTS_00772	 hypothetical protein	 Not found 
CBNIABCL_01895	 3-oxoacyl-[acyl-carrier-protein] reductase FabG	LFTS_00773	 short chain dehydrogenase	Enoyl-(Acyl carrier protein) reductase
CBNIABCL_01893	 GTPase Era	LFTS_00774	 GTP-binding protein Era	An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism
CBNIABCL_01892	 DNA repair protein RecO	LFTS_00775	 DNA replication and repair protein RecO	Involved in DNA repair and RecF pathway recombination
CBNIABCL_01891	 hypothetical protein	LFTS_00776	 hypothetical protein	 Not found 
CBNIABCL_01890	 hypothetical protein	LFTS_00777	 hypothetical protein	Protein of unknown function (DUF1207)
CBNIABCL_01889	 Ribosomal RNA large subunit methyltransferase I	LFTS_00778	 SAM-dependent methyltransferase	S-adenosylmethionine-dependent methyltransferase
CBNIABCL_01888	 GTP-binding protein TypA/BipA	LFTS_00779	 GTP-binding protein	Elongation factor G C-terminus
CBNIABCL_01887	 Peptidyl-prolyl cis-trans isomerase B	LFTS_00780	 peptidyl-prolyl cis-trans isomerase A (cyclophilin A)	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
CBNIABCL_01886	 Coenzyme PQQ synthesis protein B	LFTS_00781	 phosphoribosyl 1,2-cyclic phosphate phosphodiesterase	May be involved in the transport of PQQ or its precursor to the periplasm
CBNIABCL_01885	 Methionine synthase	LFTS_00782	 5-methyltetrahydrofolate--homocysteine methyltransferase	Pterin binding enzyme
CBNIABCL_01884	 hypothetical protein	LFTS_00783	 Vitamin B12 dependent methionine synthase, activation domain	methionine synthase
CBNIABCL_01883	 Phosphomethylpyrimidine synthase	LFTS_00784	 hydroxymethylpyrimidine synthase	Catalyzes the synthesis of the hydroxymethylpyrimidine phosphate (HMP-P) moiety of thiamine from aminoimidazole ribotide (AIR) in a radical S-adenosyl-L-methionine (SAM)-dependent reaction
CBNIABCL_01881	 Chaperone protein ClpB	LFTS_00785	 ATP-dependent Clp protease ATP-binding subunit ClpC	ATPase activity
CBNIABCL_01880	 UvrABC system protein C	LFTS_00786	 Excinuclease ABC subunit C	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision
CBNIABCL_01879	 hypothetical protein	LFTS_00787	 hypothetical protein	 Not found 
CBNIABCL_01878	 Shikimate dehydrogenase (NADP(+))	LFTS_00788	 shikimate dehydrogenase	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)
CBNIABCL_01877	 Signal recognition particle receptor FtsY	LFTS_00789	 fused signal recognition particle receptor	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC)
CBNIABCL_01876	 Endoribonuclease YbeY	LFTS_00790	 putative rRNA maturation factor	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA
CBNIABCL_01875	 Cyclic-di-AMP phosphodiesterase PgpH	LFTS_00791	 phosphodiesterase	7TM receptor with intracellular HD hydrolase
CBNIABCL_01874	 PhoH-like protein	LFTS_00792	 phosphate starvation-inducible protein PhoH	PhoH-like protein
CBNIABCL_01873	 hypothetical protein	LFTS_00793	 Nucleotide-binding universal stress protein, UspA family	AMP binding
CBNIABCL_01872	 Leader peptidase PppA	LFTS_00794	 leader peptidase (prepilin peptidase) / N-methyltransferase	Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue
CBNIABCL_01871	 hypothetical protein	LFTS_00795	 hypothetical protein	 Not found 
CBNIABCL_01870	 hypothetical protein	LFTS_00796	 Polyphosphate:AMP phosphotransferase	Polyphosphate kinase 2 (PPK2)
CBNIABCL_01869	 Disulfide bond formation protein D	LFTS_00797	 Protein-disulfide isomerase	Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process
CBNIABCL_01867	 Chemotaxis protein CheV	LFTS_00799	 two-component system, chemotaxis family, response regulator CheV	Two component signalling adaptor domain
CBNIABCL_01866	 hypothetical protein	LFTS_00800	 hypothetical protein	Domain of unknown function (DUF4337)
CBNIABCL_01865	 Ribosome maturation factor RimP	LFTS_00801	 ribosome maturation factor RimP	Required for maturation of 30S ribosomal subunits
CBNIABCL_01864	 Transcription termination/antitermination protein NusA	LFTS_00802	 NusA antitermination factor	Participates in both transcription termination and antitermination
CBNIABCL_01863	 Translation initiation factor IF-2	LFTS_00803	 bacterial translation initiation factor 2 (bIF-2)	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
