locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDCPAMKM_00575	gene	1290	traD			
DDCPAMKM_00575	CDS	1290	traD			Coupling protein TraD
DDCPAMKM_00576	gene	3099	recD2			
DDCPAMKM_00576	CDS	3099	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
DDCPAMKM_00577	gene	171				
DDCPAMKM_00577	CDS	171				hypothetical protein
DDCPAMKM_00578	gene	126				
DDCPAMKM_00578	CDS	126				hypothetical protein
DDCPAMKM_00579	gene	495				
DDCPAMKM_00579	CDS	495				hypothetical protein
DDCPAMKM_00580	gene	753				
DDCPAMKM_00580	CDS	753				hypothetical protein
DDCPAMKM_00581	gene	633				
DDCPAMKM_00581	CDS	633			COG3039	IS5 family transposase ISLru1
DDCPAMKM_00582	gene	171				
DDCPAMKM_00582	CDS	171				hypothetical protein
DDCPAMKM_00583	gene	1086				
DDCPAMKM_00583	CDS	1086				hypothetical protein
DDCPAMKM_00584	gene	708				
DDCPAMKM_00584	CDS	708				hypothetical protein
DDCPAMKM_00585	gene	789	pdeC			
DDCPAMKM_00585	CDS	789	pdeC	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeC
DDCPAMKM_00586	gene	495				
DDCPAMKM_00586	CDS	495				hypothetical protein
DDCPAMKM_00587	gene	831				
DDCPAMKM_00587	CDS	831				hypothetical protein
DDCPAMKM_00588	gene	1116				
DDCPAMKM_00588	CDS	1116				hypothetical protein
DDCPAMKM_00589	gene	261				
DDCPAMKM_00589	CDS	261				hypothetical protein
DDCPAMKM_00590	gene	1041	parM			
DDCPAMKM_00590	CDS	1041	parM			Plasmid segregation protein ParM
DDCPAMKM_00591	gene	468				
DDCPAMKM_00591	CDS	468				hypothetical protein
DDCPAMKM_00592	gene	429				
DDCPAMKM_00592	CDS	429				hypothetical protein
DDCPAMKM_00593	gene	651				
DDCPAMKM_00593	CDS	651				hypothetical protein
DDCPAMKM_00594	gene	1821				
DDCPAMKM_00594	CDS	1821				hypothetical protein
DDCPAMKM_00595	gene	1413				
DDCPAMKM_00595	CDS	1413				hypothetical protein
DDCPAMKM_00596	gene	489				
DDCPAMKM_00596	CDS	489				hypothetical protein
DDCPAMKM_00597	gene	2445				
DDCPAMKM_00597	CDS	2445				hypothetical protein
DDCPAMKM_00598	gene	1089				
DDCPAMKM_00598	CDS	1089				hypothetical protein
DDCPAMKM_00599	gene	570				
DDCPAMKM_00599	CDS	570				hypothetical protein
DDCPAMKM_00600	gene	480				
DDCPAMKM_00600	CDS	480				hypothetical protein
DDCPAMKM_00601	gene	1023				
DDCPAMKM_00601	CDS	1023				hypothetical protein
DDCPAMKM_00602	gene	93				
DDCPAMKM_00602	CDS	93				hypothetical protein
DDCPAMKM_00603	gene	1020				
DDCPAMKM_00603	CDS	1020				hypothetical protein
DDCPAMKM_00604	gene	783				
DDCPAMKM_00604	CDS	783				hypothetical protein
DDCPAMKM_00605	gene	1719				
DDCPAMKM_00605	CDS	1719				hypothetical protein
DDCPAMKM_00606	gene	1182				
DDCPAMKM_00606	CDS	1182				hypothetical protein
DDCPAMKM_00607	gene	1164				
DDCPAMKM_00607	CDS	1164				hypothetical protein
DDCPAMKM_00608	gene	2577				
DDCPAMKM_00608	CDS	2577				hypothetical protein
DDCPAMKM_00609	gene	327				
DDCPAMKM_00609	CDS	327				hypothetical protein
DDCPAMKM_00610	gene	837	rny_1			
DDCPAMKM_00610	CDS	837	rny_1	3.1.-.-		Ribonuclease Y
DDCPAMKM_00611	gene	351				
DDCPAMKM_00611	CDS	351				hypothetical protein
DDCPAMKM_00612	gene	2097				
DDCPAMKM_00612	CDS	2097				hypothetical protein
DDCPAMKM_00613	gene	450				
DDCPAMKM_00613	CDS	450				hypothetical protein
DDCPAMKM_00614	gene	291				
DDCPAMKM_00614	CDS	291				hypothetical protein
DDCPAMKM_00615	gene	723				
DDCPAMKM_00615	CDS	723				hypothetical protein
DDCPAMKM_00616	gene	1008				
DDCPAMKM_00616	CDS	1008				hypothetical protein
DDCPAMKM_00617	gene	201				
DDCPAMKM_00617	CDS	201				hypothetical protein
DDCPAMKM_00618	gene	234				
DDCPAMKM_00618	CDS	234				hypothetical protein
DDCPAMKM_00619	gene	2301	topB			
DDCPAMKM_00619	CDS	2301	topB	5.6.2.1	COG0550	DNA topoisomerase 3
DDCPAMKM_00620	gene	861				
DDCPAMKM_00620	CDS	861				hypothetical protein
DDCPAMKM_00621	gene	1131				
DDCPAMKM_00621	CDS	1131				hypothetical protein
DDCPAMKM_00622	gene	276				
DDCPAMKM_00622	CDS	276				hypothetical protein
DDCPAMKM_00623	gene	642				
DDCPAMKM_00623	CDS	642				hypothetical protein
DDCPAMKM_00624	gene	288				
DDCPAMKM_00624	CDS	288				hypothetical protein
DDCPAMKM_00625	gene	777				
DDCPAMKM_00625	CDS	777				hypothetical protein
DDCPAMKM_00626	gene	195				
DDCPAMKM_00626	CDS	195				hypothetical protein
DDCPAMKM_00627	gene	1248				
DDCPAMKM_00627	CDS	1248				hypothetical protein
DDCPAMKM_00628	gene	807				
DDCPAMKM_00628	CDS	807				hypothetical protein
DDCPAMKM_00629	gene	723				
DDCPAMKM_00629	CDS	723				hypothetical protein
DDCPAMKM_00630	gene	207				
DDCPAMKM_00630	CDS	207				hypothetical protein
DDCPAMKM_00631	gene	264				
DDCPAMKM_00631	CDS	264				hypothetical protein
DDCPAMKM_00632	gene	234				
DDCPAMKM_00632	CDS	234				hypothetical protein
DDCPAMKM_00633	gene	2991				
DDCPAMKM_00633	CDS	2991				hypothetical protein
DDCPAMKM_00634	gene	2964	hsdR			
DDCPAMKM_00634	CDS	2964	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
DDCPAMKM_00635	gene	1284				
DDCPAMKM_00635	CDS	1284				hypothetical protein
DDCPAMKM_00636	gene	1122				
DDCPAMKM_00636	CDS	1122				hypothetical protein
DDCPAMKM_00637	gene	1608				
DDCPAMKM_00637	CDS	1608				hypothetical protein
DDCPAMKM_00638	gene	897				
DDCPAMKM_00638	CDS	897				hypothetical protein
DDCPAMKM_00639	gene	672				
DDCPAMKM_00639	CDS	672				hypothetical protein
DDCPAMKM_00640	gene	2961				
DDCPAMKM_00640	CDS	2961				hypothetical protein
DDCPAMKM_00641	gene	303				
DDCPAMKM_00641	CDS	303				hypothetical protein
DDCPAMKM_00642	gene	327				
DDCPAMKM_00642	CDS	327				hypothetical protein
DDCPAMKM_00643	gene	1008				
DDCPAMKM_00643	CDS	1008				hypothetical protein
DDCPAMKM_00644	gene	204				
DDCPAMKM_00644	CDS	204				hypothetical protein
DDCPAMKM_00645	gene	207				
DDCPAMKM_00645	CDS	207				hypothetical protein
DDCPAMKM_00646	gene	468	msrB			
DDCPAMKM_00646	CDS	468	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
DDCPAMKM_00647	gene	1740				
DDCPAMKM_00647	CDS	1740				hypothetical protein
DDCPAMKM_00648	gene	76				
DDCPAMKM_00648	tRNA	76				tRNA-Asn(gtt)
DDCPAMKM_00649	gene	675				
DDCPAMKM_00649	CDS	675				hypothetical protein
DDCPAMKM_00650	gene	909	dacA			
DDCPAMKM_00650	CDS	909	dacA	2.7.7.85		Diadenylate cyclase
DDCPAMKM_00651	gene	792	folP			
DDCPAMKM_00651	CDS	792	folP	2.5.1.15	COG0294	Dihydropteroate synthase
DDCPAMKM_00652	gene	1800	ftsH			
DDCPAMKM_00652	CDS	1800	ftsH	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
DDCPAMKM_00653	gene	519	hpt			
DDCPAMKM_00653	CDS	519	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
DDCPAMKM_00654	gene	1446	tilS			
DDCPAMKM_00654	CDS	1446	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
DDCPAMKM_00655	gene	960	ribF			
DDCPAMKM_00655	CDS	960	ribF			Bifunctional riboflavin kinase/FMN adenylyltransferase
DDCPAMKM_00656	gene	984	hemB			
DDCPAMKM_00656	CDS	984	hemB	4.2.1.24	COG0113	Delta-aminolevulinic acid dehydratase
DDCPAMKM_00657	gene	1557	cysG_2			
DDCPAMKM_00657	CDS	1557	cysG_2	4.99.1.4		Siroheme synthase
DDCPAMKM_00658	gene	879				
DDCPAMKM_00658	CDS	879				hypothetical protein
DDCPAMKM_00659	gene	930	hemC			
DDCPAMKM_00659	CDS	930	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
DDCPAMKM_00660	gene	1353	hemA			
DDCPAMKM_00660	CDS	1353	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
DDCPAMKM_00661	gene	912	ccsA_1			
DDCPAMKM_00661	CDS	912	ccsA_1			Cytochrome c biogenesis protein CcsA
DDCPAMKM_00662	gene	1368				
DDCPAMKM_00662	CDS	1368				hypothetical protein
DDCPAMKM_00663	gene	1155	kamA			
DDCPAMKM_00663	CDS	1155	kamA	5.4.3.2		L-lysine 2,3-aminomutase
DDCPAMKM_00664	gene	780	bluB			
DDCPAMKM_00664	CDS	780	bluB	1.13.11.79	COG0778	5,6-dimethylbenzimidazole synthase
DDCPAMKM_00665	gene	1068	dcd			
DDCPAMKM_00665	CDS	1068	dcd	3.5.4.13		dCTP deaminase, dUMP-forming
DDCPAMKM_00666	gene	1749	mpa			
DDCPAMKM_00666	CDS	1749	mpa		COG0464	Proteasome-associated ATPase
DDCPAMKM_00667	gene	1539	dop_1			
DDCPAMKM_00667	CDS	1539	dop_1	3.4.-.-		Depupylase
DDCPAMKM_00668	gene	216	ubact			
DDCPAMKM_00668	CDS	216	ubact			Prokaryotic ubiquitin-like protein UBact
DDCPAMKM_00669	gene	804	prcB			
DDCPAMKM_00669	CDS	804	prcB	3.4.25.1	COG0638	Proteasome subunit beta
DDCPAMKM_00670	gene	732	prcA			
DDCPAMKM_00670	CDS	732	prcA			Proteasome subunit alpha
DDCPAMKM_00671	gene	1446	dop_2			
DDCPAMKM_00671	CDS	1446	dop_2	3.4.-.-		Pup deamidase/depupylase
DDCPAMKM_00672	gene	1077	pyrD			
DDCPAMKM_00672	CDS	1077	pyrD	1.3.-.-		Dihydroorotate dehydrogenase
DDCPAMKM_00673	gene	960	thrB			
DDCPAMKM_00673	CDS	960	thrB	2.7.1.39		Homoserine kinase
DDCPAMKM_00674	gene	342	fdx4			
DDCPAMKM_00674	CDS	342	fdx4		COG3411	Ferredoxin, 2Fe-2S
DDCPAMKM_00675	gene	720				
DDCPAMKM_00675	CDS	720				hypothetical protein
DDCPAMKM_00676	gene	234				
DDCPAMKM_00676	CDS	234				hypothetical protein
DDCPAMKM_00677	gene	201				
DDCPAMKM_00677	CDS	201				hypothetical protein
DDCPAMKM_00678	gene	531				
DDCPAMKM_00678	CDS	531				hypothetical protein
DDCPAMKM_00679	gene	333				
DDCPAMKM_00679	CDS	333				hypothetical protein
DDCPAMKM_00680	gene	207				
DDCPAMKM_00680	CDS	207				hypothetical protein
DDCPAMKM_00681	gene	432				
DDCPAMKM_00681	CDS	432				hypothetical protein
DDCPAMKM_00682	gene	207				
DDCPAMKM_00682	CDS	207				hypothetical protein
DDCPAMKM_00683	gene	471				
DDCPAMKM_00683	CDS	471				hypothetical protein
DDCPAMKM_00684	gene	549				
DDCPAMKM_00684	CDS	549				hypothetical protein
DDCPAMKM_00685	gene	1122	egtB			
DDCPAMKM_00685	CDS	1122	egtB	1.14.99.50		Hercynine oxygenase
DDCPAMKM_00686	gene	576				
DDCPAMKM_00686	CDS	576				hypothetical protein
DDCPAMKM_00687	gene	255				
DDCPAMKM_00687	CDS	255				hypothetical protein
DDCPAMKM_00688	gene	1344				
DDCPAMKM_00688	CDS	1344				hypothetical protein
DDCPAMKM_00689	gene	468				
DDCPAMKM_00689	CDS	468				hypothetical protein
DDCPAMKM_00690	gene	282				
DDCPAMKM_00690	CDS	282				hypothetical protein
DDCPAMKM_00691	gene	615				
DDCPAMKM_00691	CDS	615				hypothetical protein
DDCPAMKM_00692	gene	549				
DDCPAMKM_00692	CDS	549				hypothetical protein
DDCPAMKM_00693	gene	1407	norR_2			
DDCPAMKM_00693	CDS	1407	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
DDCPAMKM_00694	gene	1506	trpE			
DDCPAMKM_00694	CDS	1506	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
DDCPAMKM_00695	gene	606	pabA			
DDCPAMKM_00695	CDS	606	pabA	2.6.1.85	COG0512	Aminodeoxychorismate/anthranilate synthase component 2
DDCPAMKM_00696	gene	1017	trpD2			
DDCPAMKM_00696	CDS	1017	trpD2	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase 2
DDCPAMKM_00697	gene	810	trpC			
DDCPAMKM_00697	CDS	810	trpC	4.1.1.48	COG0134	Indole-3-glycerol phosphate synthase
DDCPAMKM_00698	gene	621	trpF			
DDCPAMKM_00698	CDS	621	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
DDCPAMKM_00699	gene	1221	trpB			
DDCPAMKM_00699	CDS	1221	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
DDCPAMKM_00700	gene	792	trpA			
DDCPAMKM_00700	CDS	792	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
DDCPAMKM_00701	gene	933	accD			
DDCPAMKM_00701	CDS	933	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
DDCPAMKM_00702	gene	1341	fpgS			
DDCPAMKM_00702	CDS	1341	fpgS	6.3.2.17		Folylpolyglutamate synthase
DDCPAMKM_00703	gene	2289	lptD			
DDCPAMKM_00703	CDS	2289	lptD			LPS-assembly protein LptD
DDCPAMKM_00704	gene	813				
DDCPAMKM_00704	CDS	813				hypothetical protein
DDCPAMKM_00705	gene	876	nadK			
DDCPAMKM_00705	CDS	876	nadK	2.7.1.23	COG0061	NAD kinase
DDCPAMKM_00706	gene	1842				
DDCPAMKM_00706	CDS	1842		1.18.1.2		Ferredoxin--NADP reductase
DDCPAMKM_00707	gene	615	petC_1			
DDCPAMKM_00707	CDS	615	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
DDCPAMKM_00708	gene	762	petB_1			
DDCPAMKM_00708	CDS	762	petB_1			Cytochrome b6
DDCPAMKM_00709	gene	831				
DDCPAMKM_00709	CDS	831				hypothetical protein
DDCPAMKM_00710	gene	222				
DDCPAMKM_00710	CDS	222				hypothetical protein
DDCPAMKM_00711	gene	966				
DDCPAMKM_00711	CDS	966				hypothetical protein
DDCPAMKM_00712	gene	945	btuD_2			
DDCPAMKM_00712	CDS	945	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
DDCPAMKM_00713	gene	831				
DDCPAMKM_00713	CDS	831				hypothetical protein
DDCPAMKM_00714	gene	492				
DDCPAMKM_00714	CDS	492				hypothetical protein
DDCPAMKM_00715	gene	990				
DDCPAMKM_00715	CDS	990				hypothetical protein
DDCPAMKM_00716	gene	162				
DDCPAMKM_00716	CDS	162				hypothetical protein
DDCPAMKM_00717	gene	1308				
DDCPAMKM_00717	CDS	1308		2.7.1.165	COG2379	D-glycerate 2-kinase
DDCPAMKM_00718	gene	1134				
DDCPAMKM_00718	CDS	1134				hypothetical protein
DDCPAMKM_00719	gene	354				
DDCPAMKM_00719	CDS	354				hypothetical protein
DDCPAMKM_00720	gene	621				
DDCPAMKM_00720	CDS	621				hypothetical protein
DDCPAMKM_00721	gene	417				
DDCPAMKM_00721	CDS	417				hypothetical protein
DDCPAMKM_00722	gene	444				
DDCPAMKM_00722	CDS	444				hypothetical protein
DDCPAMKM_00723	gene	1200				
DDCPAMKM_00723	CDS	1200				hypothetical protein
DDCPAMKM_00724	gene	459				
DDCPAMKM_00724	CDS	459				hypothetical protein
DDCPAMKM_00725	gene	531				
DDCPAMKM_00725	CDS	531				hypothetical protein
DDCPAMKM_00726	gene	522				
DDCPAMKM_00726	CDS	522		2.7.7.53	COG0537	AP-4-A phosphorylase
DDCPAMKM_00727	gene	702				
DDCPAMKM_00727	CDS	702				hypothetical protein
DDCPAMKM_00728	gene	546	pyrR			
DDCPAMKM_00728	CDS	546	pyrR		COG2065	Bifunctional protein PyrR
DDCPAMKM_00729	gene	972	pyrB			
DDCPAMKM_00729	CDS	972	pyrB	2.1.3.2		Aspartate carbamoyltransferase
DDCPAMKM_00730	gene	1320	pyrC			
DDCPAMKM_00730	CDS	1320	pyrC	3.5.2.3	COG0044	Dihydroorotase
DDCPAMKM_00731	gene	1086	carA			
DDCPAMKM_00731	CDS	1086	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
DDCPAMKM_00732	gene	984				
DDCPAMKM_00732	CDS	984				hypothetical protein
DDCPAMKM_00733	gene	3231	carB			
DDCPAMKM_00733	CDS	3231	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
DDCPAMKM_00734	gene	468	greA			
DDCPAMKM_00734	CDS	468	greA		COG0782	Transcription elongation factor GreA
DDCPAMKM_00735	gene	138				
DDCPAMKM_00735	CDS	138				hypothetical protein
DDCPAMKM_00736	gene	198				
DDCPAMKM_00736	CDS	198				hypothetical protein
DDCPAMKM_00737	gene	324	erpA			
DDCPAMKM_00737	CDS	324	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
DDCPAMKM_00738	gene	678				
DDCPAMKM_00738	CDS	678				hypothetical protein
DDCPAMKM_00739	gene	1398				
DDCPAMKM_00739	CDS	1398				hypothetical protein
DDCPAMKM_00740	gene	1404	merA_2			
DDCPAMKM_00740	CDS	1404	merA_2	1.16.1.1		Mercuric reductase
DDCPAMKM_00741	gene	1410	glnA			
DDCPAMKM_00741	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
DDCPAMKM_00742	gene	1623	vnfA			
DDCPAMKM_00742	CDS	1623	vnfA		COG3604	Nitrogen fixation protein VnfA
DDCPAMKM_00743	gene	1767	aspS			
DDCPAMKM_00743	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
DDCPAMKM_00744	gene	2277				
DDCPAMKM_00744	CDS	2277				hypothetical protein
DDCPAMKM_00745	gene	1551	guaA			
DDCPAMKM_00745	CDS	1551	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
DDCPAMKM_00746	gene	1467	guaB			
DDCPAMKM_00746	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
DDCPAMKM_00747	gene	825				
DDCPAMKM_00747	CDS	825				hypothetical protein
DDCPAMKM_00748	gene	657	lon			
DDCPAMKM_00748	CDS	657	lon	3.4.21.53		Lon protease
DDCPAMKM_00749	gene	384				
DDCPAMKM_00749	CDS	384				hypothetical protein
DDCPAMKM_00750	gene	462				
DDCPAMKM_00750	CDS	462				hypothetical protein
DDCPAMKM_00751	gene	1107	prfB			
DDCPAMKM_00751	CDS	1107	prfB			Peptide chain release factor 2
DDCPAMKM_00752	gene	1710	lnt			
DDCPAMKM_00752	CDS	1710	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
DDCPAMKM_00753	gene	438				
DDCPAMKM_00753	CDS	438				hypothetical protein
DDCPAMKM_00754	gene	1863	lig			
DDCPAMKM_00754	CDS	1863	lig	6.5.1.1		DNA ligase
DDCPAMKM_00755	gene	459				
DDCPAMKM_00755	CDS	459				hypothetical protein
DDCPAMKM_00756	gene	2421	lon2			
DDCPAMKM_00756	CDS	2421	lon2	3.4.21.53	COG0466	Lon protease 2
DDCPAMKM_00757	gene	639	nth_2			
DDCPAMKM_00757	CDS	639	nth_2	4.2.99.18	COG0177	Endonuclease III
DDCPAMKM_00758	gene	2028				
DDCPAMKM_00758	CDS	2028				hypothetical protein
DDCPAMKM_00759	gene	1296	hisS			
DDCPAMKM_00759	CDS	1296	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
DDCPAMKM_00760	gene	1986				
DDCPAMKM_00760	CDS	1986				hypothetical protein
DDCPAMKM_00761	gene	1830	lepA			
DDCPAMKM_00761	CDS	1830	lepA	3.6.5.-	COG0481	Elongation factor 4
DDCPAMKM_00762	gene	666	spsB			
DDCPAMKM_00762	CDS	666	spsB	3.4.21.89		Signal peptidase IB
DDCPAMKM_00763	gene	1083	hldE_1			
DDCPAMKM_00763	CDS	1083	hldE_1		COG2870	Bifunctional protein HldE
DDCPAMKM_00764	gene	840	kdsB			
DDCPAMKM_00764	CDS	840	kdsB	2.7.7.90	COG1212	8-amino-3,8-dideoxy-manno-octulosonate cytidylyltransferase
DDCPAMKM_00765	gene	1665	pyrG			
DDCPAMKM_00765	CDS	1665	pyrG	6.3.4.2		CTP synthase
DDCPAMKM_00766	gene	867	kdsA			
DDCPAMKM_00766	CDS	867	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
DDCPAMKM_00767	gene	1011	kdsD			
DDCPAMKM_00767	CDS	1011	kdsD	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase KdsD
DDCPAMKM_00768	gene	555	kdsC			
DDCPAMKM_00768	CDS	555	kdsC	3.1.3.45	COG1778	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
DDCPAMKM_00769	gene	585	pgsA_1			
DDCPAMKM_00769	CDS	585	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
DDCPAMKM_00770	gene	627	plsY			
DDCPAMKM_00770	CDS	627	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
DDCPAMKM_00771	gene	942				
DDCPAMKM_00771	CDS	942				hypothetical protein
DDCPAMKM_00772	gene	1500	rcsC_1			
DDCPAMKM_00772	CDS	1500	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
DDCPAMKM_00773	gene	531				
DDCPAMKM_00773	CDS	531				hypothetical protein
DDCPAMKM_00774	gene	1386	atoC_3			
DDCPAMKM_00774	CDS	1386	atoC_3		COG2204	Regulatory protein AtoC
DDCPAMKM_00775	gene	783				
DDCPAMKM_00775	CDS	783				hypothetical protein
DDCPAMKM_00776	gene	297				
DDCPAMKM_00776	CDS	297				hypothetical protein
DDCPAMKM_00777	gene	603	bcrC			
DDCPAMKM_00777	CDS	603	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
DDCPAMKM_00778	gene	1119	rlmN			
DDCPAMKM_00778	CDS	1119	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
DDCPAMKM_00779	gene	318				
DDCPAMKM_00779	CDS	318				hypothetical protein
DDCPAMKM_00780	gene	798				
DDCPAMKM_00780	CDS	798				hypothetical protein
DDCPAMKM_00781	gene	1116				
DDCPAMKM_00781	CDS	1116				hypothetical protein
DDCPAMKM_00782	gene	1380	ccoN1			
DDCPAMKM_00782	CDS	1380	ccoN1	1.9.3.1	COG3278	Cbb3-type cytochrome c oxidase subunit CcoN1
DDCPAMKM_00783	gene	189	tatA			
DDCPAMKM_00783	CDS	189	tatA			Sec-independent protein translocase protein TatA
DDCPAMKM_00784	gene	444	hmp			
DDCPAMKM_00784	CDS	444	hmp	1.14.12.17	COG1017	Flavohemoprotein
DDCPAMKM_00785	gene	1011	icd_1			
DDCPAMKM_00785	CDS	1011	icd_1	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
DDCPAMKM_00786	gene	348				
DDCPAMKM_00786	CDS	348				hypothetical protein
DDCPAMKM_00787	gene	1392	atoC_4			
DDCPAMKM_00787	CDS	1392	atoC_4		COG2204	Regulatory protein AtoC
DDCPAMKM_00788	gene	1974	sasA_5			
DDCPAMKM_00788	CDS	1974	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
DDCPAMKM_00789	gene	2472				
DDCPAMKM_00789	CDS	2472				hypothetical protein
DDCPAMKM_00790	gene	1659	ndhB_1			
DDCPAMKM_00790	CDS	1659	ndhB_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
DDCPAMKM_00791	gene	3471	bepA_1			
DDCPAMKM_00791	CDS	3471	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
DDCPAMKM_00792	gene	585				
DDCPAMKM_00792	CDS	585				hypothetical protein
DDCPAMKM_00793	gene	876				
DDCPAMKM_00793	CDS	876				hypothetical protein
DDCPAMKM_00794	gene	1851				
DDCPAMKM_00794	CDS	1851				hypothetical protein
DDCPAMKM_00795	gene	1068				
DDCPAMKM_00795	CDS	1068				hypothetical protein
DDCPAMKM_00796	gene	1521	mshA_1			
DDCPAMKM_00796	CDS	1521	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
DDCPAMKM_00797	gene	1455				
DDCPAMKM_00797	CDS	1455				hypothetical protein
DDCPAMKM_00798	gene	2178				
DDCPAMKM_00798	CDS	2178				hypothetical protein
DDCPAMKM_00799	gene	243				
DDCPAMKM_00799	CDS	243				hypothetical protein
DDCPAMKM_00800	gene	339				
DDCPAMKM_00800	CDS	339				hypothetical protein
DDCPAMKM_00801	gene	489				
DDCPAMKM_00801	CDS	489				hypothetical protein
DDCPAMKM_00802	gene	987				
DDCPAMKM_00802	CDS	987				hypothetical protein
DDCPAMKM_00803	gene	888	gltC_1			
DDCPAMKM_00803	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
DDCPAMKM_00804	gene	945				
DDCPAMKM_00804	CDS	945				hypothetical protein
DDCPAMKM_00805	gene	375				
DDCPAMKM_00805	CDS	375				hypothetical protein
DDCPAMKM_00806	gene	255				
DDCPAMKM_00806	CDS	255				hypothetical protein
DDCPAMKM_00807	gene	149				
DDCPAMKM_00807	misc_RNA	149				group-II-D1D4-7
DDCPAMKM_00808	gene	1140				
DDCPAMKM_00808	CDS	1140				hypothetical protein
DDCPAMKM_00809	gene	399				
DDCPAMKM_00809	CDS	399				ISAzo13 family transposase ISDpr7
DDCPAMKM_00810	gene	273				
DDCPAMKM_00810	CDS	273				hypothetical protein
DDCPAMKM_00811	gene	216				
DDCPAMKM_00811	CDS	216				hypothetical protein
DDCPAMKM_00812	gene	597				
DDCPAMKM_00812	CDS	597				hypothetical protein
DDCPAMKM_00813	gene	77				
DDCPAMKM_00813	misc_RNA	77				Intron_gpII
DDCPAMKM_00814	gene	174				
DDCPAMKM_00814	CDS	174				hypothetical protein
DDCPAMKM_00815	gene	210				
DDCPAMKM_00815	CDS	210				hypothetical protein
DDCPAMKM_00816	gene	915				
DDCPAMKM_00816	CDS	915				hypothetical protein
DDCPAMKM_00817	gene	76				
DDCPAMKM_00817	tRNA	76				tRNA-Lys(ttt)
DDCPAMKM_00818	gene	1050	ydiK			
DDCPAMKM_00818	CDS	1050	ydiK		COG0628	Putative transport protein YdiK
DDCPAMKM_00819	gene	627	leuD1			
DDCPAMKM_00819	CDS	627	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
DDCPAMKM_00820	gene	1398	leuC_1			
DDCPAMKM_00820	CDS	1398	leuC_1	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
DDCPAMKM_00821	gene	1086	rffG			
DDCPAMKM_00821	CDS	1086	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
DDCPAMKM_00822	gene	879	rfbA			
DDCPAMKM_00822	CDS	879	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
DDCPAMKM_00823	gene	552	rfbC			
DDCPAMKM_00823	CDS	552	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
DDCPAMKM_00824	gene	513				
DDCPAMKM_00824	CDS	513				hypothetical protein
DDCPAMKM_00825	gene	378				
DDCPAMKM_00825	CDS	378				hypothetical protein
DDCPAMKM_00826	gene	1842				
DDCPAMKM_00826	CDS	1842				hypothetical protein
